kraj,płeć,wiek,rok,wystąpień
HN,m,0-4,2006,5.0
HN,m,0-4,2007,5.0
HN,m,0-4,2008,1.0
HR,m,0-4,2005,0.0
HR,m,0-4,2006,0.0
HR,m,0-4,2008,0.0
HT,m,0-4,2007,26.0
HT,m,0-4,2008,8.0
HU,m,0-4,2005,0.0
HU,m,0-4,2006,0.0
HU,m,0-4,2007,0.0
HU,m,0-4,2008,0.0
ID,m,0-4,2007,213.0
ID,m,0-4,2008,161.0
IE,m,0-4,2005,0.0
IE,m,0-4,2006,0.0
IE,m,0-4,2007,0.0
IE,m,0-4,2008,1.0
IL,m,0-4,2005,0.0
IL,m,0-4,2006,0.0
IL,m,0-4,2007,0.0
IL,m,0-4,2008,0.0
IQ,m,0-4,2006,0.0
IQ,m,0-4,2007,0.0
IQ,m,0-4,2008,2.0
IR,m,0-4,2006,4.0
IR,m,0-4,2007,3.0
IR,m,0-4,2008,0.0
IS,m,0-4,2005,0.0
IS,m,0-4,2006,0.0
IS,m,0-4,2007,0.0
IS,m,0-4,2008,0.0
IT,m,0-4,2005,7.0
IT,m,0-4,2006,6.0
IT,m,0-4,2007,1.0
IT,m,0-4,2008,1.0
JM,m,0-4,2006,0.0
JM,m,0-4,2007,0.0
JM,m,0-4,2008,2.0
JO,m,0-4,2006,0.0
JO,m,0-4,2007,0.0
JO,m,0-4,2008,0.0
JP,m,0-4,2007,1.0
JP,m,0-4,2008,0.0
KE,m,0-4,2007,23.0
KE,m,0-4,2008,40.0
KG,m,0-4,2005,0.0
KI,m,0-4,2007,0.0
KI,m,0-4,2008,0.0
KM,m,0-4,2006,1.0
KM,m,0-4,2008,0.0
KN,m,0-4,2008,0.0
KP,m,0-4,2008,11.0
KR,m,0-4,2006,0.0
KR,m,0-4,2007,3.0
KR,m,0-4,2008,3.0
KW,m,0-4,2007,0.0
KW,m,0-4,2008,0.0
KY,m,0-4,2006,0.0
KY,m,0-4,2007,0.0
KZ,m,0-4,2005,0.0
KZ,m,0-4,2007,3.0
KZ,m,0-4,2008,0.0
LB,m,0-4,2006,0.0
LB,m,0-4,2007,0.0
LB,m,0-4,2008,0.0
LC,m,0-4,2008,0.0
LR,m,0-4,2008,3.0
LS,m,0-4,2007,1.0
LS,m,0-4,2008,0.0
LT,m,0-4,2005,0.0
LT,m,0-4,2006,0.0
LT,m,0-4,2007,0.0
LT,m,0-4,2008,0.0
LU,m,0-4,2005,0.0
LU,m,0-4,2006,0.0
LU,m,0-4,2007,0.0
LU,m,0-4,2008,0.0
LV,m,0-4,2005,0.0
LV,m,0-4,2006,0.0
LV,m,0-4,2008,0.0
LY,m,0-4,2006,0.0
LY,m,0-4,2008,1.0
MA,m,0-4,2006,4.0
MA,m,0-4,2007,4.0
MA,m,0-4,2008,5.0
MD,m,0-4,2005,0.0
MD,m,0-4,2007,0.0
MD,m,0-4,2008,0.0
ME,m,0-4,2005,0.0
ME,m,0-4,2006,0.0
ME,m,0-4,2007,0.0
ME,m,0-4,2008,0.0
MG,m,0-4,2007,94.0
MG,m,0-4,2008,21.0
MH,m,0-4,2007,0.0
MH,m,0-4,2008,0.0
MK,m,0-4,2005,0.0
MK,m,0-4,2006,0.0
MK,m,0-4,2007,0.0
MK,m,0-4,2008,0.0
ML,m,0-4,2008,2.0
MO,m,0-4,2007,0.0
MO,m,0-4,2008,0.0
MP,m,0-4,2007,0.0
MP,m,0-4,2008,0.0
MT,m,0-4,2005,0.0
MT,m,0-4,2006,0.0
MT,m,0-4,2007,0.0
MT,m,0-4,2008,0.0
MU,m,0-4,2007,0.0
MU,m,0-4,2008,0.0
MV,m,0-4,2006,0.0
MV,m,0-4,2007,0.0
MV,m,0-4,2008,0.0
MW,m,0-4,2007,0.0
MW,m,0-4,2008,1.0
MX,m,0-4,2006,68.0
MX,m,0-4,2007,61.0
MX,m,0-4,2008,62.0
MY,m,0-4,2006,148.0
MY,m,0-4,2007,79.0
MY,m,0-4,2008,61.0
NC,m,0-4,2008,0.0
NE,m,0-4,2008,5.0
NI,m,0-4,2006,0.0
NI,m,0-4,2007,0.0
NL,m,0-4,2005,0.0
NL,m,0-4,2006,0.0
NL,m,0-4,2007,1.0
NL,m,0-4,2008,0.0
NO,m,0-4,2005,0.0
NO,m,0-4,2006,0.0
NO,m,0-4,2008,0.0
NP,m,0-4,2006,0.0
NP,m,0-4,2007,0.0
NR,m,0-4,2006,0.0
NR,m,0-4,2007,0.0
NR,m,0-4,2008,0.0
NU,m,0-4,2006,0.0
NU,m,0-4,2007,0.0
NZ,m,0-4,2006,0.0
NZ,m,0-4,2007,0.0
NZ,m,0-4,2008,0.0
OM,m,0-4,2006,0.0
OM,m,0-4,2008,0.0
PA,m,0-4,2008,1.0
PE,m,0-4,2006,36.0
PE,m,0-4,2007,10.0
PE,m,0-4,2008,10.0
PF,m,0-4,2008,0.0
PL,m,0-4,2005,2.0
PL,m,0-4,2006,1.0
PL,m,0-4,2007,0.0
PL,m,0-4,2008,3.0
PR,m,0-4,2007,0.0
PR,m,0-4,2008,0.0
PS,m,0-4,2006,0.0
PS,m,0-4,2007,0.0
PS,m,0-4,2008,0.0
PT,m,0-4,2005,3.0
PT,m,0-4,2006,4.0
PT,m,0-4,2007,1.0
PT,m,0-4,2008,1.0
PW,m,0-4,2006,1.0
PW,m,0-4,2007,0.0
PY,m,0-4,2006,6.0
PY,m,0-4,2007,3.0
PY,m,0-4,2008,3.0
QA,m,0-4,2007,0.0
QA,m,0-4,2008,0.0
RO,m,0-4,2005,10.0
RO,m,0-4,2006,9.0
RO,m,0-4,2007,12.0
RO,m,0-4,2008,8.0
RS,m,0-4,2005,0.0
RS,m,0-4,2006,2.0
RS,m,0-4,2007,0.0
RS,m,0-4,2008,0.0
RU,m,0-4,2007,3.0
RU,m,0-4,2008,1.0
RW,m,0-4,2007,7.0
RW,m,0-4,2008,4.0
SA,m,0-4,2008,4.0
SB,m,0-4,2007,0.0
SB,m,0-4,2008,0.0
SC,m,0-4,2008,0.0
SD,m,0-4,2006,0.0
SD,m,0-4,2008,40.0
SE,m,0-4,2005,0.0
SE,m,0-4,2006,0.0
SE,m,0-4,2007,0.0
SE,m,0-4,2008,0.0
SG,m,0-4,2006,1.0
SG,m,0-4,2007,0.0
SG,m,0-4,2008,0.0
SI,m,0-4,2005,0.0
SI,m,0-4,2006,0.0
SI,m,0-4,2007,0.0
SI,m,0-4,2008,0.0
SK,m,0-4,2005,0.0
SK,m,0-4,2006,1.0
SK,m,0-4,2007,0.0
SK,m,0-4,2008,0.0
SL,m,0-4,2007,1.0
SL,m,0-4,2008,3.0
SN,m,0-4,2008,2.0
SR,m,0-4,2006,1.0
ST,m,0-4,2006,0.0
ST,m,0-4,2007,0.0
SV,m,0-4,2007,0.0
SV,m,0-4,2008,0.0
SY,m,0-4,2006,0.0
SY,m,0-4,2007,0.0
SY,m,0-4,2008,2.0
SZ,m,0-4,2007,2.0
SZ,m,0-4,2008,1.0
TC,m,0-4,2006,0.0
TJ,m,0-4,2005,0.0
TJ,m,0-4,2008,0.0
TK,m,0-4,2007,0.0
TM,m,0-4,2005,0.0
TM,m,0-4,2007,0.0
TO,m,0-4,2006,0.0
TO,m,0-4,2007,0.0
TO,m,0-4,2008,0.0
TR,m,0-4,2005,1.0
TR,m,0-4,2006,2.0
TR,m,0-4,2007,13.0
TR,m,0-4,2008,7.0
TT,m,0-4,2007,0.0
TT,m,0-4,2008,0.0
TV,m,0-4,2006,7.0
TV,m,0-4,2008,0.0
UA,m,0-4,2007,5.0
UA,m,0-4,2008,1.0
UG,m,0-4,2008,0.0
US,m,0-4,2006,4.0
US,m,0-4,2007,4.0
US,m,0-4,2008,4.0
UY,m,0-4,2008,0.0
UZ,m,0-4,2005,1.0
UZ,m,0-4,2006,8.0
UZ,m,0-4,2007,0.0
UZ,m,0-4,2008,3.0
VC,m,0-4,2007,0.0
VE,m,0-4,2006,1.0
VE,m,0-4,2007,0.0
VE,m,0-4,2008,0.0
VU,m,0-4,2008,0.0
WF,m,0-4,2007,0.0
WS,m,0-4,2008,0.0
ZA,m,0-4,2006,655.0
ZA,m,0-4,2007,340.0
ZA,m,0-4,2008,344.0
ZW,m,0-4,2007,6.0
AD,m,5-14,2005,0.0
AD,m,5-14,2006,0.0
AD,m,5-14,2008,0.0
AE,m,5-14,2006,0.0
AE,m,5-14,2007,2.0
AE,m,5-14,2008,0.0
AG,m,5-14,2007,0.0
AL,m,5-14,2005,0.0
AL,m,5-14,2006,4.0
AL,m,5-14,2007,0.0
AL,m,5-14,2008,0.0
AM,m,5-14,2005,2.0
AM,m,5-14,2006,0.0
AM,m,5-14,2007,1.0
AM,m,5-14,2008,0.0
AN,m,5-14,2006,0.0
AR,m,5-14,2006,48.0
AR,m,5-14,2007,63.0
AR,m,5-14,2008,58.0
AT,m,5-14,2005,0.0
AT,m,5-14,2006,1.0
AT,m,5-14,2007,1.0
AU,m,5-14,2006,1.0
AU,m,5-14,2007,3.0
AZ,m,5-14,2005,75.0
AZ,m,5-14,2006,5.0
BA,m,5-14,2005,1.0
BA,m,5-14,2006,0.0
BA,m,5-14,2007,0.0
BA,m,5-14,2008,0.0
BB,m,5-14,2007,0.0
BB,m,5-14,2008,0.0
BE,m,5-14,2005,0.0
BE,m,5-14,2006,1.0
BE,m,5-14,2007,1.0
BE,m,5-14,2008,1.0
BF,m,5-14,2007,6.0
BG,m,5-14,2005,9.0
BG,m,5-14,2007,5.0
BG,m,5-14,2008,1.0
BH,m,5-14,2008,0.0
BI,m,5-14,2007,0.0
BN,m,5-14,2007,0.0
BN,m,5-14,2008,0.0
BR,m,5-14,2006,207.0
BR,m,5-14,2007,196.0
BR,m,5-14,2008,183.0
BS,m,5-14,2007,0.0
BS,m,5-14,2008,0.0
BW,m,5-14,2008,23.0
BZ,m,5-14,2006,3.0
BZ,m,5-14,2007,0.0
BZ,m,5-14,2008,1.0
CA,m,5-14,2006,1.0
CA,m,5-14,2007,1.0
CA,m,5-14,2008,2.0
CH,m,5-14,2005,1.0
CH,m,5-14,2006,1.0
CH,m,5-14,2007,0.0
CH,m,5-14,2008,0.0
CK,m,5-14,2006,0.0
CL,m,5-14,2006,7.0
CL,m,5-14,2007,3.0
CL,m,5-14,2008,6.0
CM,m,5-14,2008,0.0
CR,m,5-14,2006,1.0
CR,m,5-14,2007,2.0
CR,m,5-14,2008,3.0
CU,m,5-14,2008,2.0
CV,m,5-14,2006,2.0
CV,m,5-14,2008,0.0
CY,m,5-14,2005,0.0
CY,m,5-14,2006,0.0
CY,m,5-14,2007,0.0
CY,m,5-14,2008,0.0
CZ,m,5-14,2005,0.0
CZ,m,5-14,2006,0.0
CZ,m,5-14,2007,0.0
CZ,m,5-14,2008,0.0
DE,m,5-14,2005,4.0
DE,m,5-14,2006,2.0
DE,m,5-14,2007,2.0
DE,m,5-14,2008,2.0
DJ,m,5-14,2007,10.0
DK,m,5-14,2005,0.0
DK,m,5-14,2006,0.0
DK,m,5-14,2007,0.0
DK,m,5-14,2008,0.0
DM,m,5-14,2006,0.0
DM,m,5-14,2007,0.0
DM,m,5-14,2008,0.0
DO,m,5-14,2008,14.0
EE,m,5-14,2005,0.0
EE,m,5-14,2006,0.0
EE,m,5-14,2007,0.0
EE,m,5-14,2008,0.0
EG,m,5-14,2006,35.0
EG,m,5-14,2008,13.0
ER,m,5-14,2007,17.0
ES,m,5-14,2005,7.0
ES,m,5-14,2006,6.0
ES,m,5-14,2007,6.0
ES,m,5-14,2008,9.0
FI,m,5-14,2005,1.0
FI,m,5-14,2006,0.0
FI,m,5-14,2007,0.0
FI,m,5-14,2008,0.0
FJ,m,5-14,2006,0.0
FM,m,5-14,2006,7.0
FM,m,5-14,2008,0.0
FR,m,5-14,2005,5.0
FR,m,5-14,2006,9.0
FR,m,5-14,2007,9.0
FR,m,5-14,2008,5.0
GA,m,5-14,2008,13.0
GB,m,5-14,2005,5.0
GB,m,5-14,2006,6.0
GB,m,5-14,2007,11.0
GB,m,5-14,2008,4.0
GD,m,5-14,2006,0.0
GE,m,5-14,2005,0.0
GE,m,5-14,2006,3.0
GE,m,5-14,2007,1.0
GE,m,5-14,2008,122.0
GM,m,5-14,2006,0.0
GM,m,5-14,2008,6.0
GR,m,5-14,2005,1.0
GR,m,5-14,2006,0.0
GR,m,5-14,2007,1.0
GR,m,5-14,2008,0.0
GT,m,5-14,2007,115.0
GT,m,5-14,2008,19.0
GU,m,5-14,2007,0.0
GU,m,5-14,2008,0.0
GY,m,5-14,2008,5.0
HK,m,5-14,2005,3.0
HK,m,5-14,2006,3.0
HK,m,5-14,2007,4.0
HK,m,5-14,2008,0.0
HN,m,5-14,2006,16.0
HN,m,5-14,2007,16.0
HN,m,5-14,2008,10.0
HR,m,5-14,2005,1.0
HR,m,5-14,2006,0.0
HR,m,5-14,2008,0.0
HT,m,5-14,2007,78.0
HT,m,5-14,2008,82.0
HU,m,5-14,2005,0.0
HU,m,5-14,2006,2.0
HU,m,5-14,2007,0.0
HU,m,5-14,2008,0.0
ID,m,5-14,2007,636.0
ID,m,5-14,2008,710.0
IE,m,5-14,2005,1.0
IE,m,5-14,2006,0.0
IE,m,5-14,2007,0.0
IE,m,5-14,2008,1.0
IL,m,5-14,2005,0.0
IL,m,5-14,2006,0.0
IL,m,5-14,2007,1.0
IL,m,5-14,2008,0.0
IQ,m,5-14,2006,14.0
IQ,m,5-14,2007,20.0
IQ,m,5-14,2008,16.0
IR,m,5-14,2006,8.0
IR,m,5-14,2007,7.0
IR,m,5-14,2008,11.0
IS,m,5-14,2005,0.0
IS,m,5-14,2006,0.0
IS,m,5-14,2007,0.0
IS,m,5-14,2008,0.0
IT,m,5-14,2005,1.0
IT,m,5-14,2006,1.0
IT,m,5-14,2007,2.0
IT,m,5-14,2008,12.0
JM,m,5-14,2006,0.0
JM,m,5-14,2007,0.0
JM,m,5-14,2008,1.0
JO,m,5-14,2006,0.0
JO,m,5-14,2007,0.0
JO,m,5-14,2008,0.0
JP,m,5-14,2006,3.0
JP,m,5-14,2007,0.0
JP,m,5-14,2008,2.0
KE,m,5-14,2007,451.0
KE,m,5-14,2008,411.0
KG,m,5-14,2005,1.0
KG,m,5-14,2006,3.0
KG,m,5-14,2007,3.0
KG,m,5-14,2008,1.0
KI,m,5-14,2007,2.0
KI,m,5-14,2008,2.0
KM,m,5-14,2006,0.0
KM,m,5-14,2008,2.0
KN,m,5-14,2008,0.0
KP,m,5-14,2008,430.0
KR,m,5-14,2006,19.0
KR,m,5-14,2007,48.0
KR,m,5-14,2008,18.0
KW,m,5-14,2007,1.0
KW,m,5-14,2008,0.0
KY,m,5-14,2006,0.0
KY,m,5-14,2007,0.0
KZ,m,5-14,2005,31.0
KZ,m,5-14,2007,11.0
KZ,m,5-14,2008,14.0
LB,m,5-14,2006,0.0
LB,m,5-14,2007,0.0
LB,m,5-14,2008,1.0
LC,m,5-14,2008,0.0
LR,m,5-14,2008,104.0
LS,m,5-14,2007,5.0
LS,m,5-14,2008,21.0
LT,m,5-14,2005,0.0
LT,m,5-14,2006,0.0
LT,m,5-14,2007,0.0
LT,m,5-14,2008,0.0
LU,m,5-14,2005,0.0
LU,m,5-14,2006,0.0
LU,m,5-14,2007,0.0
LU,m,5-14,2008,0.0
LV,m,5-14,2005,1.0
LV,m,5-14,2006,2.0
LV,m,5-14,2008,0.0
LY,m,5-14,2006,0.0
LY,m,5-14,2008,1.0
MA,m,5-14,2006,69.0
MA,m,5-14,2007,70.0
MA,m,5-14,2008,46.0
MD,m,5-14,2005,2.0
MD,m,5-14,2007,0.0
MD,m,5-14,2008,1.0
ME,m,5-14,2005,0.0
ME,m,5-14,2006,0.0
ME,m,5-14,2007,0.0
ME,m,5-14,2008,0.0
MG,m,5-14,2007,102.0
MG,m,5-14,2008,121.0
MH,m,5-14,2007,0.0
MH,m,5-14,2008,1.0
MK,m,5-14,2005,2.0
MK,m,5-14,2006,0.0
MK,m,5-14,2007,1.0
MK,m,5-14,2008,1.0
ML,m,5-14,2008,20.0
MO,m,5-14,2007,0.0
MO,m,5-14,2008,1.0
MP,m,5-14,2007,0.0
MP,m,5-14,2008,0.0
MT,m,5-14,2005,0.0
MT,m,5-14,2006,0.0
MT,m,5-14,2007,0.0
MT,m,5-14,2008,0.0
MU,m,5-14,2007,0.0
MU,m,5-14,2008,0.0
MV,m,5-14,2006,0.0
MV,m,5-14,2007,0.0
MV,m,5-14,2008,0.0
MW,m,5-14,2007,61.0
MW,m,5-14,2008,55.0
MX,m,5-14,2006,61.0
MX,m,5-14,2007,84.0
MX,m,5-14,2008,62.0
MY,m,5-14,2007,137.0
MY,m,5-14,2008,160.0
NC,m,5-14,2008,0.0
NE,m,5-14,2008,30.0
NI,m,5-14,2006,0.0
NI,m,5-14,2007,0.0
NL,m,5-14,2005,0.0
NL,m,5-14,2006,0.0
NL,m,5-14,2007,0.0
NL,m,5-14,2008,0.0
NO,m,5-14,2005,0.0
NO,m,5-14,2006,0.0
NO,m,5-14,2008,1.0
NP,m,5-14,2006,0.0
NP,m,5-14,2007,0.0
NR,m,5-14,2006,0.0
NR,m,5-14,2007,0.0
NR,m,5-14,2008,0.0
NU,m,5-14,2006,0.0
NU,m,5-14,2007,0.0
NZ,m,5-14,2006,5.0
NZ,m,5-14,2007,0.0
NZ,m,5-14,2008,0.0
OM,m,5-14,2006,6.0
OM,m,5-14,2008,0.0
PA,m,5-14,2008,8.0
PE,m,5-14,2006,364.0
PE,m,5-14,2007,385.0
PE,m,5-14,2008,74.0
PF,m,5-14,2008,1.0
PL,m,5-14,2005,1.0
PL,m,5-14,2006,0.0
PL,m,5-14,2007,2.0
PL,m,5-14,2008,3.0
PR,m,5-14,2007,0.0
PR,m,5-14,2008,0.0
PS,m,5-14,2006,0.0
PS,m,5-14,2007,0.0
PS,m,5-14,2008,0.0
PT,m,5-14,2005,2.0
PT,m,5-14,2006,3.0
PT,m,5-14,2007,3.0
PT,m,5-14,2008,1.0
PW,m,5-14,2006,0.0
PW,m,5-14,2007,0.0
PY,m,5-14,2006,14.0
PY,m,5-14,2007,11.0
PY,m,5-14,2008,8.0
QA,m,5-14,2007,0.0
QA,m,5-14,2008,1.0
RO,m,5-14,2005,26.0
RO,m,5-14,2006,21.0
RO,m,5-14,2007,13.0
RO,m,5-14,2008,14.0
RS,m,5-14,2005,3.0
RS,m,5-14,2006,4.0
RS,m,5-14,2007,0.0
RS,m,5-14,2008,1.0
RU,m,5-14,2007,17.0
RU,m,5-14,2008,11.0
RW,m,5-14,2007,44.0
RW,m,5-14,2008,29.0
SA,m,5-14,2008,12.0
SB,m,5-14,2007,5.0
SB,m,5-14,2008,3.0
SC,m,5-14,2008,0.0
SD,m,5-14,2006,0.0
SD,m,5-14,2008,277.0
SE,m,5-14,2005,0.0
SE,m,5-14,2006,0.0
SE,m,5-14,2007,0.0
SE,m,5-14,2008,0.0
SG,m,5-14,2006,1.0
SG,m,5-14,2007,0.0
SG,m,5-14,2008,0.0
SI,m,5-14,2005,0.0
SI,m,5-14,2006,0.0
SI,m,5-14,2007,0.0
SI,m,5-14,2008,0.0
SK,m,5-14,2005,0.0
SK,m,5-14,2006,3.0
SK,m,5-14,2007,0.0
SK,m,5-14,2008,0.0
SL,m,5-14,2007,44.0
SL,m,5-14,2008,43.0
SN,m,5-14,2008,65.0
SR,m,5-14,2006,4.0
ST,m,5-14,2006,0.0
ST,m,5-14,2007,0.0
SV,m,5-14,2007,8.0
SV,m,5-14,2008,8.0
SY,m,5-14,2006,8.0
SY,m,5-14,2007,7.0
SY,m,5-14,2008,16.0
SZ,m,5-14,2007,29.0
SZ,m,5-14,2008,28.0
TC,m,5-14,2006,0.0
TG,m,5-14,2007,0.0
TJ,m,5-14,2005,8.0
TJ,m,5-14,2008,7.0
TK,m,5-14,2007,0.0
TM,m,5-14,2005,2.0
TM,m,5-14,2007,2.0
TO,m,5-14,2006,0.0
TO,m,5-14,2007,0.0
TO,m,5-14,2008,0.0
TR,m,5-14,2005,32.0
TR,m,5-14,2006,38.0
TR,m,5-14,2007,37.0
TR,m,5-14,2008,41.0
TT,m,5-14,2006,2.0
TT,m,5-14,2007,1.0
TT,m,5-14,2008,2.0
TV,m,5-14,2006,0.0
TV,m,5-14,2008,2.0
UA,m,5-14,2007,9.0
UA,m,5-14,2008,8.0
UG,m,5-14,2008,269.0
US,m,5-14,2006,8.0
US,m,5-14,2007,8.0
US,m,5-14,2008,7.0
UY,m,5-14,2008,1.0
UZ,m,5-14,2005,24.0
UZ,m,5-14,2006,11.0
UZ,m,5-14,2007,18.0
UZ,m,5-14,2008,7.0
VC,m,5-14,2007,0.0
VE,m,5-14,2006,9.0
VE,m,5-14,2007,17.0
VE,m,5-14,2008,18.0
VU,m,5-14,2006,0.0
VU,m,5-14,2008,1.0
WF,m,5-14,2007,0.0
WS,m,5-14,2008,0.0
ZA,m,5-14,2006,1407.0
ZA,m,5-14,2007,594.0
ZA,m,5-14,2008,1519.0
ZW,m,5-14,2007,132.0
AD,m,0-14,1996,0.0
AD,m,0-14,1997,0.0
AD,m,0-14,1998,0.0
AD,m,0-14,1999,0.0
AD,m,0-14,2000,0.0
AD,m,0-14,2001,0.0
AD,m,0-14,2002,0.0
AD,m,0-14,2003,0.0
AD,m,0-14,2004,0.0
AD,m,0-14,2005,0.0
AD,m,0-14,2006,0.0
AD,m,0-14,2008,0.0
AE,m,0-14,1999,4.0
AE,m,0-14,2000,2.0
AE,m,0-14,2002,1.0
AE,m,0-14,2003,2.0
AE,m,0-14,2004,1.0
AE,m,0-14,2006,0.0
AE,m,0-14,2007,2.0
AE,m,0-14,2008,0.0
AF,m,0-14,1997,0.0
AF,m,0-14,1998,30.0
AF,m,0-14,1999,8.0
AF,m,0-14,2000,52.0
AF,m,0-14,2001,129.0
AF,m,0-14,2002,90.0
AF,m,0-14,2003,127.0
AF,m,0-14,2004,139.0
AF,m,0-14,2005,151.0
AF,m,0-14,2006,193.0
AF,m,0-14,2007,186.0
AF,m,0-14,2008,187.0
AG,m,0-14,1996,0.0
AG,m,0-14,2000,0.0
AG,m,0-14,2002,0.0
AG,m,0-14,2003,0.0
AG,m,0-14,2007,0.0
AI,m,0-14,2004,0.0
AL,m,0-14,1995,0.0
AL,m,0-14,1997,0.0
AL,m,0-14,1998,1.0
AL,m,0-14,1999,0.0
AL,m,0-14,2000,2.0
AL,m,0-14,2001,3.0
AL,m,0-14,2002,0.0
AL,m,0-14,2003,0.0
AL,m,0-14,2004,5.0
AL,m,0-14,2005,0.0
AL,m,0-14,2006,5.0
AL,m,0-14,2007,0.0
AL,m,0-14,2008,1.0
AM,m,0-14,1995,1.0
AM,m,0-14,1996,2.0
AM,m,0-14,1997,2.0
AM,m,0-14,1998,2.0
AM,m,0-14,1999,4.0
AM,m,0-14,2000,2.0
AM,m,0-14,2001,2.0
AM,m,0-14,2002,1.0
AM,m,0-14,2003,12.0
AM,m,0-14,2004,2.0
AM,m,0-14,2005,3.0
AM,m,0-14,2006,0.0
AM,m,0-14,2007,1.0
AM,m,0-14,2008,0.0
AN,m,0-14,1996,0.0
AN,m,0-14,1997,0.0
AN,m,0-14,1998,0.0
AN,m,0-14,1999,0.0
AN,m,0-14,2000,0.0
AN,m,0-14,2001,0.0
AN,m,0-14,2002,0.0
AN,m,0-14,2003,0.0
AN,m,0-14,2004,1.0
AN,m,0-14,2006,0.0
